participant,block,trial,condition,pic_presence,cue,prime,target,resp_acc,RT
s24_abj_fs4,1,1,noise,absent,notCued,noise,NA,0,1671
s24_abj_fs4,1,2,noise,present,notCued,noise,turtle,1,1816
s24_abj_fs4,1,3,congruent,present,label,zebra,zebra,0,2394
s24_abj_fs4,1,4,incongruent,absent,label,football,NA,1,1943
s24_abj_fs4,1,5,incongruent,absent,label,banana,NA,0,1814
s24_abj_fs4,1,6,incongruent,absent,label,turtle,NA,1,1939
s24_abj_fs4,1,7,noise,absent,notCued,noise,NA,0,1899
s24_abj_fs4,1,8,incongruent,present,label,kangaroo,turtle,0,2273
s24_abj_fs4,1,9,incongruent,absent,label,pumpkin,NA,1,2612
s24_abj_fs4,1,10,congruent,present,label,pumpkin,pumpkin,0,1886
s24_abj_fs4,1,11,congruent,present,label,rollingpin,rollingpin,1,1582
s24_abj_fs4,1,12,noise,present,notCued,noise,football,1,2564
s24_abj_fs4,1,13,incongruent,absent,label,kangaroo,NA,1,2080
s24_abj_fs4,1,14,incongruent,absent,label,zebra,NA,1,634
s24_abj_fs4,1,15,incongruent,absent,label,zebra,NA,0,1372
s24_abj_fs4,1,16,incongruent,absent,label,kangaroo,NA,1,2433
s24_abj_fs4,1,17,noise,absent,notCued,noise,NA,1,2129
s24_abj_fs4,1,18,noise,present,notCued,noise,swan,0,1161
s24_abj_fs4,1,19,noise,present,notCued,noise,turtle,0,2535
s24_abj_fs4,1,20,noise,present,notCued,noise,turtle,0,3270
s24_abj_fs4,1,21,incongruent,absent,label,football,NA,0,1814
s24_abj_fs4,1,22,congruent,present,label,zebra,zebra,1,2775
s24_abj_fs4,1,23,noise,absent,notCued,noise,NA,1,3061
s24_abj_fs4,1,24,noise,absent,notCued,noise,NA,1,2281
s24_abj_fs4,1,25,noise,present,notCued,noise,zebra,0,422
s24_abj_fs4,1,26,incongruent,absent,label,swan,NA,1,1953
s24_abj_fs4,1,27,congruent,present,label,football,football,0,1877
s24_abj_fs4,1,28,noise,present,notCued,noise,rollingpin,0,1956
s24_abj_fs4,1,29,noise,absent,notCued,noise,NA,1,1859
s24_abj_fs4,1,30,noise,present,notCued,noise,kangaroo,0,2227
s24_abj_fs4,1,31,congruent,present,label,turtle,turtle,0,2101
s24_abj_fs4,1,32,noise,present,notCued,noise,rollingpin,0,1910
s24_abj_fs4,1,33,noise,present,notCued,noise,kangaroo,0,2339
s24_abj_fs4,1,34,noise,absent,notCued,noise,NA,1,2147
s24_abj_fs4,1,35,noise,present,notCued,noise,kangaroo,1,2375
s24_abj_fs4,1,36,congruent,present,label,banana,banana,0,1940
s24_abj_fs4,1,37,incongruent,absent,label,zebra,NA,1,1478
s24_abj_fs4,1,38,incongruent,absent,label,swan,NA,1,211
s24_abj_fs4,1,39,noise,present,notCued,noise,swan,0,2123
s24_abj_fs4,1,40,noise,absent,notCued,noise,NA,1,1957
s24_abj_fs4,1,41,noise,absent,notCued,noise,NA,1,1944
s24_abj_fs4,1,42,incongruent,present,label,football,rollingpin,0,1888
s24_abj_fs4,1,43,incongruent,present,label,zebra,kangaroo,1,3159
s24_abj_fs4,1,44,congruent,present,label,banana,banana,0,2149
s24_abj_fs4,1,45,noise,present,notCued,noise,kangaroo,0,1925
s24_abj_fs4,1,46,noise,absent,notCued,noise,NA,1,1895
s24_abj_fs4,1,47,congruent,present,label,turtle,turtle,0,1957
