subjCode,gender,block,trial_num,sound_file,sound_name,pic_name,is_valid,cue,is_pres,validity_prompt,rt,rtValid,obj_presence_acc,obj_identified_acc,latency,validity_recoded
s24_abj_fs4,M,1,1,noise,noise,NA,valid,notCued,absent,football,1671,1039,0,0,NA,notCued
s24_abj_fs4,M,1,2,noise,noise,turtle,invalid,notCued,present,zebra,1816,975,1,1,1816,notCued
s24_abj_fs4,M,1,3,zebra_label,zebra,zebra,valid,label,present,zebra,2394,NA,0,NA,NA,valid
s24_abj_fs4,M,1,4,football_label,football,NA,invalid,label,absent,football,1943,NA,1,NA,1943,invalid
s24_abj_fs4,M,1,5,banana_label,banana,NA,valid,label,absent,banana,1814,671,0,1,NA,valid
s24_abj_fs4,M,1,6,turtle_label,turtle,NA,valid,label,absent,turtle,1939,NA,1,NA,1939,valid
s24_abj_fs4,M,1,7,noise,noise,NA,valid,notCued,absent,football,1899,1280,0,0,NA,notCued
s24_abj_fs4,M,1,8,kangaroo_label,kangaroo,turtle,invalid,label,present,kangaroo,2273,NA,0,NA,NA,invalid
s24_abj_fs4,M,1,9,pumpkin_label,pumpkin,NA,valid,label,absent,pumpkin,2612,NA,1,NA,2612,valid
s24_abj_fs4,M,1,10,pumpkin_label,pumpkin,pumpkin,valid,label,present,pumpkin,1886,NA,0,NA,NA,valid
s24_abj_fs4,M,1,11,rollingpin_label,rollingpin,rollingpin,valid,label,present,rollingpin,1582,1127,1,1,1582,valid
s24_abj_fs4,M,1,12,noise,noise,football,valid,notCued,present,football,2564,1023,1,0,2564,notCued
s24_abj_fs4,M,1,13,kangaroo_label,kangaroo,NA,invalid,label,absent,kangaroo,2080,NA,1,NA,2080,invalid
s24_abj_fs4,M,1,14,zebra_label,zebra,NA,valid,label,absent,zebra,634,NA,1,NA,634,valid
s24_abj_fs4,M,1,15,zebra_label,zebra,NA,valid,label,absent,zebra,1372,655,0,1,NA,valid
s24_abj_fs4,M,1,16,kangaroo_label,kangaroo,NA,invalid,label,absent,kangaroo,2433,NA,1,NA,2433,invalid
s24_abj_fs4,M,1,17,noise,noise,NA,valid,notCued,absent,rollingpin,2129,NA,1,NA,2129,notCued
s24_abj_fs4,M,1,18,noise,noise,swan,invalid,notCued,present,banana,1161,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,19,noise,noise,turtle,valid,notCued,present,turtle,2535,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,20,noise,noise,turtle,valid,notCued,present,turtle,3270,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,21,football_label,football,NA,valid,label,absent,football,1814,719,0,1,NA,valid
s24_abj_fs4,M,1,22,zebra_label,zebra,zebra,valid,label,present,zebra,2775,351,1,1,2775,valid
s24_abj_fs4,M,1,23,noise,noise,NA,valid,notCued,absent,turtle,3061,NA,1,NA,3061,notCued
s24_abj_fs4,M,1,24,noise,noise,NA,invalid,notCued,absent,swan,2281,NA,1,NA,2281,notCued
s24_abj_fs4,M,1,25,noise,noise,zebra,valid,notCued,present,zebra,422,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,26,swan_label,swan,NA,valid,label,absent,swan,1953,NA,1,NA,1953,valid
s24_abj_fs4,M,1,27,football_label,football,football,valid,label,present,football,1877,NA,0,NA,NA,valid
s24_abj_fs4,M,1,28,noise,noise,rollingpin,valid,notCued,present,rollingpin,1956,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,29,noise,noise,NA,valid,notCued,absent,banana,1859,NA,1,NA,1859,notCued
s24_abj_fs4,M,1,30,noise,noise,kangaroo,valid,notCued,present,kangaroo,2227,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,31,turtle_label,turtle,turtle,valid,label,present,turtle,2101,NA,0,NA,NA,valid
s24_abj_fs4,M,1,32,noise,noise,rollingpin,valid,notCued,present,rollingpin,1910,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,33,noise,noise,kangaroo,valid,notCued,present,kangaroo,2339,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,34,noise,noise,NA,valid,notCued,absent,swan,2147,NA,1,NA,2147,notCued
s24_abj_fs4,M,1,35,noise,noise,kangaroo,valid,notCued,present,kangaroo,2375,1263,1,1,2375,notCued
s24_abj_fs4,M,1,36,banana_label,banana,banana,valid,label,present,banana,1940,NA,0,NA,NA,valid
s24_abj_fs4,M,1,37,zebra_label,zebra,NA,valid,label,absent,zebra,1478,NA,1,NA,1478,valid
s24_abj_fs4,M,1,38,swan_label,swan,NA,valid,label,absent,swan,211,NA,1,NA,211,valid
s24_abj_fs4,M,1,39,noise,noise,swan,valid,notCued,present,swan,2123,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,40,noise,noise,NA,valid,notCued,absent,banana,1957,NA,1,NA,1957,notCued
s24_abj_fs4,M,1,41,noise,noise,NA,valid,notCued,absent,zebra,1944,NA,1,NA,1944,notCued
s24_abj_fs4,M,1,42,football_label,football,rollingpin,invalid,label,present,football,1888,NA,0,NA,NA,invalid
s24_abj_fs4,M,1,43,zebra_label,zebra,kangaroo,invalid,label,present,zebra,3159,543,1,0,3159,invalid
s24_abj_fs4,M,1,44,banana_label,banana,banana,valid,label,present,banana,2149,NA,0,NA,NA,valid
s24_abj_fs4,M,1,45,noise,noise,kangaroo,valid,notCued,present,kangaroo,1925,NA,0,NA,NA,notCued
s24_abj_fs4,M,1,46,noise,noise,NA,valid,notCued,absent,pumpkin,1895,NA,1,NA,1895,notCued
s24_abj_fs4,M,1,47,turtle_label,turtle,turtle,valid,label,present,turtle,1957,NA,0,NA,NA,valid
s24_abj_fs4,M,1,48,banana_label,banana,NA,valid,label,absent,banana,2519,NA,1,NA,2519,valid
