participant,block,trial,condition,pic_presence,cue,prime,target,resp_acc
s24_abj_fs4,1,1,noPic,absent,notCued,noise,NA,0
s24_abj_fs4,1,2,incongruent,present,notCued,noise,turtle,1
s24_abj_fs4,1,3,congruent,present,label,zebra,zebra,0
s24_abj_fs4,1,4,noPic,absent,label,football,NA,1
s24_abj_fs4,1,5,noPic,absent,label,banana,NA,0
s24_abj_fs4,1,6,noPic,absent,label,turtle,NA,1
s24_abj_fs4,1,7,noPic,absent,notCued,noise,NA,0
s24_abj_fs4,1,8,incongruent,present,label,kangaroo,turtle,0
s24_abj_fs4,1,9,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,1,10,congruent,present,label,pumpkin,pumpkin,0
s24_abj_fs4,1,11,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,1,12,incongruent,present,notCued,noise,football,1
s24_abj_fs4,1,13,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,1,14,noPic,absent,label,zebra,NA,1
s24_abj_fs4,1,15,noPic,absent,label,zebra,NA,0
s24_abj_fs4,1,16,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,1,17,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,18,incongruent,present,notCued,noise,swan,0
s24_abj_fs4,1,19,incongruent,present,notCued,noise,turtle,0
s24_abj_fs4,1,20,incongruent,present,notCued,noise,turtle,0
s24_abj_fs4,1,21,noPic,absent,label,football,NA,0
s24_abj_fs4,1,22,congruent,present,label,zebra,zebra,1
s24_abj_fs4,1,23,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,24,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,25,incongruent,present,notCued,noise,zebra,0
s24_abj_fs4,1,26,noPic,absent,label,swan,NA,1
s24_abj_fs4,1,27,congruent,present,label,football,football,0
s24_abj_fs4,1,28,incongruent,present,notCued,noise,rollingpin,0
s24_abj_fs4,1,29,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,30,incongruent,present,notCued,noise,kangaroo,0
s24_abj_fs4,1,31,congruent,present,label,turtle,turtle,0
s24_abj_fs4,1,32,incongruent,present,notCued,noise,rollingpin,0
s24_abj_fs4,1,33,incongruent,present,notCued,noise,kangaroo,0
s24_abj_fs4,1,34,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,35,incongruent,present,notCued,noise,kangaroo,1
s24_abj_fs4,1,36,congruent,present,label,banana,banana,0
s24_abj_fs4,1,37,noPic,absent,label,zebra,NA,1
s24_abj_fs4,1,38,noPic,absent,label,swan,NA,1
s24_abj_fs4,1,39,incongruent,present,notCued,noise,swan,0
s24_abj_fs4,1,40,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,41,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,42,incongruent,present,label,football,rollingpin,0
s24_abj_fs4,1,43,incongruent,present,label,zebra,kangaroo,1
s24_abj_fs4,1,44,congruent,present,label,banana,banana,0
s24_abj_fs4,1,45,incongruent,present,notCued,noise,kangaroo,0
s24_abj_fs4,1,46,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,47,congruent,present,label,turtle,turtle,0
s24_abj_fs4,1,48,noPic,absent,label,banana,NA,1
s24_abj_fs4,1,49,congruent,present,label,kangaroo,kangaroo,0
s24_abj_fs4,1,50,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,51,incongruent,present,notCued,noise,zebra,0
s24_abj_fs4,1,52,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,53,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,54,congruent,present,label,pumpkin,pumpkin,0
s24_abj_fs4,1,55,noPic,absent,label,turtle,NA,1
s24_abj_fs4,1,56,incongruent,present,notCued,noise,pumpkin,0
s24_abj_fs4,1,57,incongruent,present,notCued,noise,football,0
s24_abj_fs4,1,58,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,59,incongruent,present,notCued,noise,pumpkin,0
s24_abj_fs4,1,60,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,1,61,incongruent,present,notCued,noise,pumpkin,0
s24_abj_fs4,1,62,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,1,63,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,64,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,1,65,congruent,present,label,football,football,0
s24_abj_fs4,1,66,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,67,noPic,absent,label,swan,NA,1
s24_abj_fs4,1,68,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,69,congruent,present,label,swan,swan,0
s24_abj_fs4,1,70,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,71,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,72,noPic,absent,label,rollingpin,NA,1
s24_abj_fs4,1,73,congruent,present,label,pumpkin,pumpkin,0
s24_abj_fs4,1,74,incongruent,present,notCued,noise,pumpkin,0
s24_abj_fs4,1,75,congruent,present,label,zebra,zebra,0
s24_abj_fs4,1,76,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,1,77,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,78,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,1,79,congruent,present,label,zebra,zebra,0
s24_abj_fs4,1,80,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,81,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,82,congruent,present,label,banana,banana,1
s24_abj_fs4,1,83,congruent,present,label,swan,swan,0
s24_abj_fs4,1,84,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,1,85,incongruent,present,notCued,noise,zebra,1
s24_abj_fs4,1,86,incongruent,present,notCued,noise,swan,0
s24_abj_fs4,1,87,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,88,incongruent,present,notCued,noise,swan,0
s24_abj_fs4,1,89,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,90,noPic,absent,label,football,NA,1
s24_abj_fs4,1,91,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,92,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,1,93,incongruent,present,notCued,noise,football,0
s24_abj_fs4,1,94,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,1,95,incongruent,present,notCued,noise,swan,0
s24_abj_fs4,1,96,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,1,97,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,98,incongruent,present,notCued,noise,turtle,0
s24_abj_fs4,1,99,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,100,noPic,absent,label,zebra,NA,1
s24_abj_fs4,1,101,incongruent,present,label,swan,zebra,0
s24_abj_fs4,1,102,congruent,present,label,swan,swan,0
s24_abj_fs4,1,103,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,104,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,1,105,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,106,congruent,present,label,kangaroo,kangaroo,0
s24_abj_fs4,1,107,incongruent,present,notCued,noise,turtle,1
s24_abj_fs4,1,108,congruent,present,label,turtle,turtle,0
s24_abj_fs4,1,109,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,110,noPic,absent,label,rollingpin,NA,1
s24_abj_fs4,1,111,congruent,present,label,football,football,0
s24_abj_fs4,1,112,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,113,incongruent,present,label,banana,swan,0
s24_abj_fs4,1,114,congruent,present,label,banana,banana,0
s24_abj_fs4,1,115,noPic,absent,label,banana,NA,1
s24_abj_fs4,1,116,congruent,present,label,football,football,1
s24_abj_fs4,1,117,noPic,absent,label,rollingpin,NA,1
s24_abj_fs4,1,118,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,119,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,120,incongruent,present,notCued,noise,kangaroo,0
s24_abj_fs4,1,121,noPic,absent,label,turtle,NA,1
s24_abj_fs4,1,122,congruent,present,label,kangaroo,kangaroo,0
s24_abj_fs4,1,123,incongruent,present,label,rollingpin,football,0
s24_abj_fs4,1,124,incongruent,present,notCued,noise,zebra,0
s24_abj_fs4,1,125,congruent,present,label,pumpkin,pumpkin,0
s24_abj_fs4,1,126,noPic,absent,label,turtle,NA,1
s24_abj_fs4,1,127,congruent,present,label,kangaroo,kangaroo,1
s24_abj_fs4,1,128,noPic,absent,label,football,NA,1
s24_abj_fs4,1,129,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,1,130,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,1,131,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,1,132,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,133,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,1,134,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,135,noPic,absent,label,football,NA,1
s24_abj_fs4,1,136,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,137,noPic,absent,label,turtle,NA,1
s24_abj_fs4,1,138,noPic,absent,label,rollingpin,NA,1
s24_abj_fs4,1,139,incongruent,present,notCued,noise,football,1
s24_abj_fs4,1,140,noPic,absent,label,banana,NA,1
s24_abj_fs4,1,141,noPic,absent,label,swan,NA,1
s24_abj_fs4,1,142,noPic,absent,label,zebra,NA,1
s24_abj_fs4,1,143,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,144,congruent,present,label,swan,swan,1
s24_abj_fs4,1,145,incongruent,present,label,zebra,banana,0
s24_abj_fs4,1,146,incongruent,present,notCued,noise,pumpkin,1
s24_abj_fs4,1,147,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,1,148,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,149,noPic,absent,label,swan,NA,1
s24_abj_fs4,1,150,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,1,151,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,152,incongruent,present,label,football,pumpkin,1
s24_abj_fs4,1,153,incongruent,present,notCued,noise,zebra,0
s24_abj_fs4,1,154,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,1,155,incongruent,present,notCued,noise,football,1
s24_abj_fs4,1,156,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,1,157,congruent,present,label,turtle,turtle,0
s24_abj_fs4,1,158,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,1,159,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,1,160,noPic,absent,label,swan,NA,1
s24_abj_fs4,2,1,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,2,congruent,present,label,football,football,1
s24_abj_fs4,2,3,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,2,4,noPic,absent,label,swan,NA,1
s24_abj_fs4,2,5,noPic,absent,label,turtle,NA,1
s24_abj_fs4,2,6,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,2,7,congruent,present,label,zebra,zebra,1
s24_abj_fs4,2,8,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,2,9,incongruent,present,notCued,noise,zebra,1
s24_abj_fs4,2,10,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,11,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,12,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,2,13,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,2,14,incongruent,present,notCued,noise,football,1
s24_abj_fs4,2,15,incongruent,present,notCued,noise,turtle,0
s24_abj_fs4,2,16,noPic,absent,label,turtle,NA,1
s24_abj_fs4,2,17,congruent,present,label,kangaroo,kangaroo,1
s24_abj_fs4,2,18,noPic,absent,label,rollingpin,NA,1
s24_abj_fs4,2,19,congruent,present,label,zebra,zebra,1
s24_abj_fs4,2,20,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,2,21,congruent,present,label,turtle,turtle,0
s24_abj_fs4,2,22,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,2,23,incongruent,present,notCued,noise,turtle,0
s24_abj_fs4,2,24,congruent,present,label,pumpkin,pumpkin,0
s24_abj_fs4,2,25,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,2,26,noPic,absent,label,swan,NA,1
s24_abj_fs4,2,27,noPic,absent,label,kangaroo,NA,1
s24_abj_fs4,2,28,noPic,absent,label,zebra,NA,1
s24_abj_fs4,2,29,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,30,noPic,absent,label,turtle,NA,1
s24_abj_fs4,2,31,incongruent,present,notCued,noise,football,0
s24_abj_fs4,2,32,congruent,present,label,kangaroo,kangaroo,0
s24_abj_fs4,2,33,noPic,absent,label,rollingpin,NA,1
s24_abj_fs4,2,34,congruent,present,label,swan,swan,1
s24_abj_fs4,2,35,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,36,noPic,absent,label,pumpkin,NA,1
s24_abj_fs4,2,37,noPic,absent,label,zebra,NA,1
s24_abj_fs4,2,38,incongruent,present,notCued,noise,zebra,1
s24_abj_fs4,2,39,noPic,absent,label,swan,NA,1
s24_abj_fs4,2,40,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,41,congruent,present,label,swan,swan,1
s24_abj_fs4,2,42,incongruent,present,notCued,noise,kangaroo,0
s24_abj_fs4,2,43,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,2,44,incongruent,present,notCued,noise,swan,1
s24_abj_fs4,2,45,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,2,46,incongruent,present,notCued,noise,kangaroo,0
s24_abj_fs4,2,47,incongruent,present,notCued,noise,pumpkin,0
s24_abj_fs4,2,48,incongruent,present,notCued,noise,pumpkin,1
s24_abj_fs4,2,49,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,50,congruent,present,label,rollingpin,rollingpin,1
s24_abj_fs4,2,51,congruent,present,label,turtle,turtle,1
s24_abj_fs4,2,52,incongruent,present,notCued,noise,rollingpin,1
s24_abj_fs4,2,53,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,54,noPic,absent,label,banana,NA,1
s24_abj_fs4,2,55,incongruent,present,notCued,noise,kangaroo,1
s24_abj_fs4,2,56,incongruent,present,label,football,rollingpin,1
s24_abj_fs4,2,57,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,58,congruent,present,label,banana,banana,0
s24_abj_fs4,2,59,incongruent,present,notCued,noise,zebra,1
s24_abj_fs4,2,60,noPic,absent,label,football,NA,1
s24_abj_fs4,2,61,congruent,present,label,pumpkin,pumpkin,1
s24_abj_fs4,2,62,congruent,present,label,football,football,1
s24_abj_fs4,2,63,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,64,incongruent,present,label,kangaroo,turtle,1
s24_abj_fs4,2,65,incongruent,present,notCued,noise,football,1
s24_abj_fs4,2,66,congruent,present,label,pumpkin,pumpkin,1
s24_abj_fs4,2,67,congruent,present,label,banana,banana,0
s24_abj_fs4,2,68,congruent,present,label,kangaroo,kangaroo,0
s24_abj_fs4,2,69,incongruent,present,notCued,noise,banana,0
s24_abj_fs4,2,70,incongruent,present,label,football,pumpkin,1
s24_abj_fs4,2,71,noPic,absent,notCued,noise,NA,1
s24_abj_fs4,2,72,noPic,absent,label,football,NA,1
s24_abj_fs4,2,73,noPic,absent,notCued,noise,NA,1
