Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	24_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	2	1784
2	24_CFS3_logfile.txt	Hoed	32_T_Hat.jpg	congruent	present	0	0	1	1044
3	24_CFS3_logfile.txt	Hersens	29_T_Whip.jpg	incongruent	present	0	0	2	1140
4	24_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	2	1081
5	24_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	779
6	24_CFS3_logfile.txt	Palm	50_T_Pen.jpg	incongruent	present	0	0	2	956
7	24_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	1	998
8	24_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	1516
9	24_CFS3_logfile.txt	Bonbon	32_T_Hat.jpg	incongruent	present	0	0	2	1104
10	24_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	857
11	24_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	incongruent	present	0	0	2	852
12	24_CFS3_logfile.txt	Pen	52_T_Bonbon.jpg	incongruent	present	0	0	2	685
13	24_CFS3_logfile.txt	Fluit	52_T_Bonbon.jpg	incongruent	present	0	0	2	955
14	24_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	775
15	24_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	813
16	24_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	858
17	24_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	909
18	24_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	979
19	24_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	872
20	24_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	2	1298
21	24_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	920
22	24_CFS3_logfile.txt	Kussen	29_T_Whip.jpg	incongruent	present	0	0	2	856
23	24_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	942
24	24_CFS3_logfile.txt	Pen	51_Control.jpg	incongruent	present	0	0	2	1133
25	24_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	1195
26	24_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	946
27	24_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	1	1053
28	24_CFS3_logfile.txt	Banaan	4_T_Ball.jpg	incongruent	present	0	0	2	1093
29	24_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	1	897
30	24_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	2	752
31	24_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1093
32	24_CFS3_logfile.txt	Hoed	39_T_Crane.jpg	incongruent	present	0	0	1	962
33	24_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	919
34	24_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	1374
35	24_CFS3_logfile.txt	Hersens	28_T_Butterfly.jpg	incongruent	present	0	0	2	1003
