Participant	Congruency	Hit_Rate	False_Alarm	dprime
10_CFS3_logfile.txt	congruent	0.46969697	0.0234375	1.911396264
11_CFS3_logfile.txt	congruent	0.31818182	0.109375	0.757069643
13_CFS3_logfile.txt	congruent	0.84848485	0.3984375	1.287350295
14_CFS3_logfile.txt	congruent	0.78787879	0.3515625	1.180188224
15_CFS3_logfile.txt	congruent	0.42424242	0.0390625	1.570618393
16_CFS3_logfile.txt	congruent	0.68181818	0.0625	2.00690966
17_CFS3_logfile.txt	congruent	0.39393939	0.1875	0.618080411
18_CFS3_logfile.txt	congruent	0.3030303	0.1015625	0.756993839
19_CFS3_logfile.txt	congruent	0.07575758	0.0234375	0.553227756
2_CFS3_logfile.txt	congruent	0.45454545	0.0625	1.419935239
20_CFS3_logfile.txt	congruent	0.10606061	0.03125	0.614978034
22_CFS3_logfile.txt	congruent	0.87878788	0.0859375	2.535152667
23_CFS3_logfile.txt	congruent	0.18181818	0.0078125	1.509101141
24_CFS3_logfile.txt	congruent	0.63636364	0.1640625	1.326653249
26_CFS3_logfile.txt	congruent	0.54545455	0.03125	1.976917173
27_CFS3_logfile.txt	congruent	0.28787879	0.140625	0.517923299
28_CFS3_logfile.txt	congruent	0.31818182	0.0078125	1.9447699
29_CFS3_logfile.txt	congruent	0.65151515	0.4375	0.546724978
3_CFS3_logfile.txt	congruent	0.51515152	0.3046875	0.54895417
4_CFS3_logfile.txt	congruent	0.54545455	0.375	0.43282467
6_CFS3_logfile.txt	congruent	0.31818182	0.1953125	0.385695358
7_CFS3_logfile.txt	congruent	0.51515152	0.2265625	0.788203739
8_CFS3_logfile.txt	congruent	0.51515152	0.234375	0.762502747
9_CFS3_logfile.txt	congruent	0.43939394	0.03125	1.710225895
10_CFS3_logfile.txt	incongruent	0.27419355	0.0234375	1.387249115
11_CFS3_logfile.txt	incongruent	0.29032258	0.109375	0.677416173
13_CFS3_logfile.txt	incongruent	0.80645161	0.3984375	1.122287874
14_CFS3_logfile.txt	incongruent	0.62903226	0.3515625	0.710396807
15_CFS3_logfile.txt	incongruent	0.41935484	0.0390625	1.558126182
16_CFS3_logfile.txt	incongruent	0.62903226	0.0625	1.863411896
17_CFS3_logfile.txt	incongruent	0.30645161	0.1875	0.381212897
18_CFS3_logfile.txt	incongruent	0.29032258	0.1015625	0.720256055
19_CFS3_logfile.txt	incongruent	0.06451613	0.0234375	0.469498734
2_CFS3_logfile.txt	incongruent	0.46774194	0.0625	1.453173265
20_CFS3_logfile.txt	incongruent	0.11290323	0.03125	0.651499758
22_CFS3_logfile.txt	incongruent	0.74193548	0.0859375	2.015527718
23_CFS3_logfile.txt	incongruent	0.09677419	0.0078125	1.117405562
24_CFS3_logfile.txt	incongruent	0.43548387	0.1640625	0.815468169
26_CFS3_logfile.txt	incongruent	0.53225806	0.03125	1.943679147
27_CFS3_logfile.txt	incongruent	0.27419355	0.140625	0.477336796
28_CFS3_logfile.txt	incongruent	0.30645161	0.0078125	1.911625354
29_CFS3_logfile.txt	incongruent	0.56451613	0.4375	0.31974006
3_CFS3_logfile.txt	incongruent	0.5	0.3046875	0.510965807
4_CFS3_logfile.txt	incongruent	0.53225806	0.375	0.399586643
6_CFS3_logfile.txt	incongruent	0.40322581	0.1953125	0.61347826
7_CFS3_logfile.txt	incongruent	0.22580645	0.2265625	-0.002513424
8_CFS3_logfile.txt	incongruent	0.62903226	0.234375	1.053805736
9_CFS3_logfile.txt	incongruent	0.43548387	0.03125	1.700302492
