item_id,pic_file,trial_lang,object_name,typicality
1,17_u2_key.png,Dutch,SLEUTEL,6.363636363636363
1,17_u2_key.png,English,KEY,6.363636363636363
2,3_sem_tap.png,Dutch,KRAAN,5.2272727272727275
2,3_sem_tap.png,English,TAP,5.136363636363637
3,5_u2_tie.png,Dutch,STROPDAS,5.590909090909091
3,5_u2_tie.png,English,TIE,5.666666666666667
4,5_sem_cake.png,Dutch,TAART,5.7727272727272725
4,5_sem_cake.png,English,CAKE,5.863636363636363
5,7_sem_present.png,Dutch,CADEAU,6.181818181818182
5,7_sem_present.png,English,PRESENT,6.142857142857143
6,8_sem_monkey.png,Dutch,AAP,6.090909090909091
6,8_sem_monkey.png,English,MONKEY,6
7,12_u1_meat.png,Dutch,VLEES,5.7272727272727275
7,12_u1_meat.png,English,MEAT,5.863636363636363
8,14_vis_gun.png,Dutch,PISTOOL,6.636363636363637
8,14_vis_gun.png,English,GUN,6.636363636363637
9,21_u2_bell.png,Dutch,BEL,5.7272727272727275
9,21_u2_bell.png,English,BELL,5.7272727272727275
11,25_u2_barrel.png,Dutch,TON,6.454545454545454
11,25_u2_barrel.png,English,BARREL,6.294117647058823
12,26_sem_bowl.png,Dutch,KOM,5.681818181818182
12,26_sem_bowl.png,English,BOWL,5.631578947368421
13,27_u1_eagle.png,Dutch,ADELAAR,6.636363636363637
13,27_u1_eagle.png,English,EAGLE,6.454545454545454
15,35_u1_fan.png,Dutch,VENTILATOR,5.363636363636363
15,35_u1_fan.png,English,FAN,5.523809523809524
17,40_u1_chair.png,Dutch,STOEL,5.090909090909091
17,40_u1_chair.png,English,CHAIR,5.045454545454546
18,41_u1_frog.png,Dutch,KIKKER,5.7727272727272725
18,41_u1_frog.png,English,FROG,5.863636363636363
19,41_u2_drum.png,Dutch,TROMMEL,5.090909090909091
19,41_u2_drum.png,English,DRUM,5.444444444444445
21,47_vis_lighter.png,Dutch,AANSTEKER,6.545454545454546
21,47_vis_lighter.png,English,LIGHTER,6.454545454545454
22,54_vis_tray.png,Dutch,DIENBLAD,5.545454545454546
22,54_vis_tray.png,English,TRAY,5.5
23,56_vis_globe.png,Dutch,WERELDBOL,5.818181818181818
23,56_vis_globe.png,English,GLOBE,6
24,59_u1_chain.png,Dutch,KETTING,5.681818181818182
24,59_u1_chain.png,English,CHAIN,5.809523809523809
25,61_u1_belt.png,Dutch,RIEM,5.863636363636363
25,61_u1_belt.png,English,BELT,5.909090909090909
27,63_u1_leaf.png,Dutch,BLAD,5.545454545454546
27,63_u1_leaf.png,English,LEAF,5.545454545454546
28,67_vis_fence.png,Dutch,HEK,5.954545454545454
28,67_vis_fence.png,English,FENCE,5.545454545454546
29,69_u1_watch.png,Dutch,HORLOGE,5.818181818181818
29,69_u1_watch.png,English,WATCH,5.681818181818182
30,70_vis_snake.png,Dutch,SLANG,6.636363636363637
30,70_vis_snake.png,English,SNAKE,6.636363636363637
31,74_sem_cap.png,Dutch,PET,6.636363636363637
31,74_sem_cap.png,English,CAP,6.409090909090909
32,74_u2_package.png,Dutch,PAKKET,5.954545454545454
32,74_u2_package.png,English,PACKAGE,5.85
33,74_vis_iron.png,Dutch,STRIJKIJZER,5.7272727272727275
33,74_vis_iron.png,English,IRON,5.7727272727272725
34,80_u2_jacket.png,Dutch,JAS,5.045454545454546
34,80_u2_jacket.png,English,JACKET,5.333333333333333
35,82_vis_rope.png,Dutch,TOUW,5.318181818181818
35,82_vis_rope.png,English,ROPE,5.181818181818182
36,86_sem_horse.png,Dutch,PAARD,6.2272727272727275
36,86_sem_horse.png,English,HORSE,6.045454545454546
37,87_u1_flower.png,Dutch,BLOEM,5.363636363636363
37,87_u1_flower.png,English,FLOWER,5.363636363636363
38,92_sem_spoon.png,Dutch,LEPEL,6.181818181818182
38,92_sem_spoon.png,English,SPOON,6.045454545454546
39,93_sem_teeth.png,Dutch,TANDEN,5.2727272727272725
