UserId,EventTag,TagValue1,TagValue2,EventMs,TagDate
16d39a37fdc-f944-cf22-eeda-3045,StimulusImageShown,Dutch_26_target,./static/62_u2_desk.png,41,2019-09-16 12:35:05.877
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_64_target,./static/28_vis_bike pedals.png,147,2019-09-16 14:16:03.875
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_64_target,1,4460,2019-09-16 14:16:08.188
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_38_target,./static/92_sem_spoon.png,4508,2019-09-16 14:16:08.236
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_38_target,1,6413,2019-09-16 14:16:10.141
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_5_target,./static/7_sem_present.png,6493,2019-09-16 14:16:10.221
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_5_target,1,8671,2019-09-16 14:16:12.399
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_19_target,./static/41_u2_drum.png,8736,2019-09-16 14:16:12.464
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_19_target,2,10429,2019-09-16 14:16:14.157
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_7_target,./static/12_u1_meat.png,10672,2019-09-16 14:16:14.4
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_7_target,2,11960,2019-09-16 14:16:15.688
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_112_catch,./static/99_vis_plunger.png,11998,2019-09-16 14:16:15.726
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_112_catch,2,13535,2019-09-16 14:16:17.263
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_106_catch,./static/96_u2_printer.png,13582,2019-09-16 14:16:17.31
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_106_catch,3,15457,2019-09-16 14:16:19.185
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_28_target,./static/67_vis_fence.png,15513,2019-09-16 14:16:19.241
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_28_target,3,16971,2019-09-16 14:16:20.699
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_62_target,./static/27_sem_light switch.png,17011,2019-09-16 14:16:20.739
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_62_target,3,19065,2019-09-16 14:16:22.793
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_10_target,./static/24_u1_pants.png,19117,2019-09-16 14:16:22.845
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_10_target,4,20917,2019-09-16 14:16:24.645
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_86_target,./static/76_u2_cutting board.png,20973,2019-09-16 14:16:24.701
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_86_target,4,22523,2019-09-16 14:16:26.251
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_12_target,./static/26_sem_bowl.png,22580,2019-09-16 14:16:26.308
