item_id,object_name,pic_file,Response,Score,Comment
1,KEY,17_u2_key.png,sleutel,,
2,TAP,3_sem_tap.png,aanraken,,
2,TAP,3_sem_tap.png,bar,,
2,TAP,3_sem_tap.png,drukken,,
2,TAP,3_sem_tap.png,kraan,,
2,TAP,3_sem_tap.png,tap,,
2,TAP,3_sem_tap.png,tap / kraan,,
3,TIE,5_u2_tie.png,das,,
3,TIE,5_u2_tie.png,strik,,
3,TIE,5_u2_tie.png,stropdas,,
4,CAKE,5_sem_cake.png,cake,,
4,CAKE,5_sem_cake.png,cake of taart,,
4,CAKE,5_sem_cake.png,cake/taart,,
4,CAKE,5_sem_cake.png,taart,,
4,CAKE,5_sem_cake.png,taart/cake,,
5,PRESENT,7_sem_present.png,aanwezig,,
5,PRESENT,7_sem_present.png,aanwezigheid,,
5,PRESENT,7_sem_present.png,cadeai,,
5,PRESENT,7_sem_present.png,cadeau,,
5,PRESENT,7_sem_present.png,cadeautje,,
5,PRESENT,7_sem_present.png,heden,,
5,PRESENT,7_sem_present.png,kadootjes/tegenwoordige tijd,,
5,PRESENT,7_sem_present.png,nu,,
5,PRESENT,7_sem_present.png,op dit moment,,
6,MONKEY,8_sem_monkey.png,aap,,
7,MEAT,12_u1_meat.png,vlees,,
8,GUN,14_vis_gun.png,geweer,,
8,GUN,14_vis_gun.png,pistool,,
9,BELL,21_u2_bell.png,?,,
9,BELL,21_u2_bell.png,bel,,
9,BELL,21_u2_bell.png,x,,
10,PANTS,24_u1_pants.png,broek,,
11,BARREL,25_u2_barrel.png,-,,
11,BARREL,25_u2_barrel.png,?,,
11,BARREL,25_u2_barrel.png,barrel,,
11,BARREL,25_u2_barrel.png,gewicht,,
11,BARREL,25_u2_barrel.png,stal,,
11,BARREL,25_u2_barrel.png,ton,,
11,BARREL,25_u2_barrel.png,vat,,
11,BARREL,25_u2_barrel.png,vat/ton,,
11,BARREL,25_u2_barrel.png,x,,
12,BOWL,26_sem_bowl.png,bakje,,
12,BOWL,26_sem_bowl.png,bakje/schaal,,
12,BOWL,26_sem_bowl.png,bol,,
12,BOWL,26_sem_bowl.png,kom,,
12,BOWL,26_sem_bowl.png,schaal,,
12,BOWL,26_sem_bowl.png,schaal/kom,,
12,BOWL,26_sem_bowl.png,schaaltje,,
12,BOWL,26_sem_bowl.png,x,,
13,EAGLE,27_u1_eagle.png,-,,
13,EAGLE,27_u1_eagle.png,adelaar,,
13,EAGLE,27_u1_eagle.png,arend,,
13,EAGLE,27_u1_eagle.png,zeemeeuw,,
14,BASKET,27_u2_basket.png,bak,,
14,BASKET,27_u2_basket.png,bakje,,
14,BASKET,27_u2_basket.png,mand,,
14,BASKET,27_u2_basket.png,mandje,,
14,BASKET,27_u2_basket.png,prullenbak,,
14,BASKET,27_u2_basket.png,ring,,
15,FAN,35_u1_fan.png,bewonderaar,,
15,FAN,35_u1_fan.png,fan,,
15,FAN,35_u1_fan.png,fan/waaier,,
15,FAN,35_u1_fan.png,ventilator,,
15,FAN,35_u1_fan.png,ventillator,,
15,FAN,35_u1_fan.png,verntilator,,
15,FAN,35_u1_fan.png,waaier,,
15,FAN,35_u1_fan.png,x,,
16,BOW,38_u1_bow.png,boog,,
16,BOW,38_u1_bow.png,das,,
16,BOW,38_u1_bow.png,schaal,,
16,BOW,38_u1_bow.png,strik,,
16,BOW,38_u1_bow.png,strikje,,
16,BOW,38_u1_bow.png,stropdas,,
16,BOW,38_u1_bow.png,x,,
17,CHAIR,40_u1_chair.png,stoel,,
18,FROG,41_u1_frog.png,kikker,,
19,DRUM,41_u2_drum.png,drum,,
19,DRUM,41_u2_drum.png,drums?,,
19,DRUM,41_u2_drum.png,drumstel,,
19,DRUM,41_u2_drum.png,drumstel/trommel,,
19,DRUM,41_u2_drum.png,trommel,,
20,BAG,45_u2_bag.png,tas,,
20,BAG,45_u2_bag.png,tas/zak,,
20,BAG,45_u2_bag.png,zak,,
21,LIGHTER,47_vis_lighter.png,aansteker,,
22,TRAY,54_vis_tray.png,bak,,
22,TRAY,54_vis_tray.png,blikje,,
22,TRAY,54_vis_tray.png,dienblad,,
22,TRAY,54_vis_tray.png,lade,,
22,TRAY,54_vis_tray.png,lade/bakje,,
22,TRAY,54_vis_tray.png,lade/dienblad,,
22,TRAY,54_vis_tray.png,vat,,
22,TRAY,54_vis_tray.png,x,,
23,GLOBE,56_vis_globe.png,aardbol,,
23,GLOBE,56_vis_globe.png,aardbol/globe,,
23,GLOBE,56_vis_globe.png,aarde,,
23,GLOBE,56_vis_globe.png,globe,,
23,GLOBE,56_vis_globe.png,handschoen,,
23,GLOBE,56_vis_globe.png,wereldbol,,
24,CHAIN,59_u1_chain.png,kettign,,
24,CHAIN,59_u1_chain.png,ketting,,
24,CHAIN,59_u1_chain.png,kleed,,
24,CHAIN,59_u1_chain.png,slot,,
24,CHAIN,59_u1_chain.png,stoel,,
25,BELT,61_u1_belt.png,riem,,
26,DESK,62_u2_desk.png,bureau,,
26,DESK,62_u2_desk.png,tafel,,
27,LEAF,63_u1_leaf.png,blaadje,,
27,LEAF,63_u1_leaf.png,blad,,
27,LEAF,63_u1_leaf.png,bloemkool,,
28,FENCE,67_vis_fence.png,hek,,
28,FENCE,67_vis_fence.png,potlood,,
28,FENCE,67_vis_fence.png,x,,
29,WATCH,69_u1_watch.png,horloge,,
30,SNAKE,70_vis_snake.png,slang,,
31,CAP,74_sem_cap.png,dop,,
31,CAP,74_sem_cap.png,helm,,
31,CAP,74_sem_cap.png,hoed,,
31,CAP,74_sem_cap.png,kap,,
31,CAP,74_sem_cap.png,pet,,
32,PACKAGE,74_u2_package.png,bagage,,
32,PACKAGE,74_u2_package.png,doos,,
32,PACKAGE,74_u2_package.png,pakje,,
32,PACKAGE,74_u2_package.png,pakket,,
32,PACKAGE,74_u2_package.png,pakketje,,
33,IRON,74_vis_iron.png,ijzer,,
33,IRON,74_vis_iron.png,iron,,
33,IRON,74_vis_iron.png,staal,,
33,IRON,74_vis_iron.png,stijkijzer,,
33,IRON,74_vis_iron.png,strijkijzer,,
34,JACKET,80_u2_jacket.png,jas,,
34,JACKET,80_u2_jacket.png,jasje,,
34,JACKET,80_u2_jacket.png,vestje,,
35,ROPE,82_vis_rope.png,touw,,
36,HORSE,86_sem_horse.png,paard,,
36,HORSE,86_sem_horse.png,paars,,
37,FLOWER,87_u1_flower.png,bloem,,
38,SPOON,92_sem_spoon.png,lepel,,
39,TEETH,93_sem_teeth.png,tand,,
39,TEETH,93_sem_teeth.png,tanden,,
40,CHERRY,7_vis_cherry.png,bes,,
40,CHERRY,7_vis_cherry.png,kers,,
41,SHARK,94_u1_shark.png,haai,,
42,SLIDE,94_u2_slide.png,dia,,
42,SLIDE,94_u2_slide.png,glijbaan,,
42,SLIDE,94_u2_slide.png,glijden/dia,,
42,SLIDE,94_u2_slide.png,plaatje,,
42,SLIDE,94_u2_slide.png,slee,,
42,SLIDE,94_u2_slide.png,stukje,,
42,SLIDE,94_u2_slide.png,vegen,,
43,LOBSTER,95_sem_lobster.png,krab,,
43,LOBSTER,95_sem_lobster.png,kreeft,,
44,SAUSAGE,97_u1_sausage.png,worst,,
44,SAUSAGE,97_u1_sausage.png,worstje,,
45,LOCK,98_u2_lock.png,slot,,
46,CROSS,97_vis_cross.png,cross,,
46,CROSS,97_vis_cross.png,kruis,,
46,CROSS,97_vis_cross.png,oversteken,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,basebalhandschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,baseball handschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,basketbal handschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,basketbalhandschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,handbalhandschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,handbalhandschoenen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,honkbal handschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,honkbalhandschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,pet,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,slagbalhandschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,softbal handschoen,,
47,BASEBALL GLOVE,3_u1_baseball glove.png,softbalhandschoen,,
48,COFFEE MACHINE,4_u2_coffee machine.png,koffieapparaat,,
48,COFFEE MACHINE,4_u2_coffee machine.png,koffiemachine,,
48,COFFEE MACHINE,4_u2_coffee machine.png,koffiemachine/koffiezetapparaat,,
48,COFFEE MACHINE,4_u2_coffee machine.png,koffiezet apparaat,,
48,COFFEE MACHINE,4_u2_coffee machine.png,koffiezetapparaat,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,heet waterfles,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,kruik,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,theekan,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,warmte fles,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,waterfles,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,waterflesje,,
49,HOT WATER BOTTLE,4_vis_hot water bottle.png,waterkoker,,
50,ICE SKATE,5_u1_ice skate.png,ijsschaatsen,,
50,ICE SKATE,5_u1_ice skate.png,rolschaatsen,,
50,ICE SKATE,5_u1_ice skate.png,schaats,,
50,ICE SKATE,5_u1_ice skate.png,schaatsen,,
51,SOCCER SHOES,6_sem_soccer shoes.png,voetbalschoenen,,
52,CHEESE SLICER,7_u1_cheese slicer.png,kaasschaaf,,
52,CHEESE SLICER,7_u1_cheese slicer.png,kaassnijder,,
53,ROCKING HORSE,11_sem_rocking horse.png,hobbelpaard,,
53,ROCKING HORSE,11_sem_rocking horse.png,houten paard,,
53,ROCKING HORSE,11_sem_rocking horse.png,schommelpaard,,
53,ROCKING HORSE,11_sem_rocking horse.png,speelgoed paard,,
53,ROCKING HORSE,11_sem_rocking horse.png,speelpaardje,,
53,ROCKING HORSE,11_sem_rocking horse.png,x,,
54,MEASURING TAPE,14_sem_measuring tape.png,ducktape,,
54,MEASURING TAPE,14_sem_measuring tape.png,meetlint,,
54,MEASURING TAPE,14_sem_measuring tape.png,meetlint/rolmaat,,
54,MEASURING TAPE,14_sem_measuring tape.png,meetteep,,
54,MEASURING TAPE,14_sem_measuring tape.png,rolmaat,,
54,MEASURING TAPE,14_sem_measuring tape.png,veiligheidstape,,
55,OFFICE CHAIR,14_u2_office chair.png,bureau stoel,,
55,OFFICE CHAIR,14_u2_office chair.png,bureaustoel,,
55,OFFICE CHAIR,14_u2_office chair.png,kantoorstoel,,
56,BABY BOTTLE,18_sem_baby bottle.png,baby flesje,,
56,BABY BOTTLE,18_sem_baby bottle.png,babyfles,,
56,BABY BOTTLE,18_sem_baby bottle.png,babyflesje,,
56,BABY BOTTLE,18_sem_baby bottle.png,fles,,
56,BABY BOTTLE,18_sem_baby bottle.png,fles voor baby,,
56,BABY BOTTLE,18_sem_baby bottle.png,flesje,,
56,BABY BOTTLE,18_sem_baby bottle.png,kinderflesje,,
57,LIFEBUOY,19_vis_life saver.png,?,,
57,LIFEBUOY,19_vis_life saver.png,boei,,
57,LIFEBUOY,19_vis_life saver.png,huh,,
57,LIFEBUOY,19_vis_life saver.png,reddingsboei,,
57,LIFEBUOY,19_vis_life saver.png,reddingsvest,,
57,LIFEBUOY,19_vis_life saver.png,veiligheid,,
57,LIFEBUOY,19_vis_life saver.png,veiligheidsboei,,
57,LIFEBUOY,19_vis_life saver.png,x,,
58,ICE CREAM,20_vis_ice cream.png,ijs,,
58,ICE CREAM,20_vis_ice cream.png,ijshoorn,,
58,ICE CREAM,20_vis_ice cream.png,ijsje,,
59,PLAYING CARDS,22_u2_playing cards.png,kaarten,,
59,PLAYING CARDS,22_u2_playing cards.png,kaartspel,,
59,PLAYING CARDS,22_u2_playing cards.png,speelkaarten,,
59,PLAYING CARDS,22_u2_playing cards.png,spel kaarten,,
59,PLAYING CARDS,22_u2_playing cards.png,spelkaarten,,
60,RUBBER DUCK,25_u1_rubber duck.png,badeend,,
60,RUBBER DUCK,25_u1_rubber duck.png,badeendje,,
60,RUBBER DUCK,25_u1_rubber duck.png,rubber eend,,
60,RUBBER DUCK,25_u1_rubber duck.png,rubberen eend,,
61,ROLLING PIN,25_vis_rolling pin.png,-,,
61,ROLLING PIN,25_vis_rolling pin.png,bowlingkegel,,
61,ROLLING PIN,25_vis_rolling pin.png,deeg roller,,
61,ROLLING PIN,25_vis_rolling pin.png,deegroller,,
61,ROLLING PIN,25_vis_rolling pin.png,haarspeld,,
61,ROLLING PIN,25_vis_rolling pin.png,jojo,,
61,ROLLING PIN,25_vis_rolling pin.png,pen,,
61,ROLLING PIN,25_vis_rolling pin.png,rolmaat,,
61,ROLLING PIN,25_vis_rolling pin.png,rolschaats,,
61,ROLLING PIN,25_vis_rolling pin.png,rolstok,,
61,ROLLING PIN,25_vis_rolling pin.png,veiligheidspeld,,
